canonical,construct,stem,variable_dr,dr_col_final,map_source,accepted,dr_col_exists,cov_dr_v0,cov_bp_v0,cov_sz_v0,bp_col,sz_col,n_cohorts,readiness_old,readiness_new,readiness_changed
tmtb01,executive_tmt,tmtb,TMTB01,tmtb01,Variable DR,True,True,0.556,0.673,0.799,tmtb01_,tmt0102_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtb01a,executive_tmt,tmtb,TMTB01A,tmtb01a,Variable DR,True,True,0.556,0.673,0.821,tmtb01a_,tmtb01a_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtb01b,executive_tmt,tmtb,TMTB01B,,Variable DR,False,True,0.0,0.666,0.777,tmtb01b_,tmtb01b_,2,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),False
tmtb02a,executive_tmt,tmtb,TMTB02A,tmtb02a,Variable DR,True,True,0.556,0.673,0.821,tmtb02a_,tmtb02a_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtb02b,executive_tmt,tmtb,TMTB02B,tmtb02b,Variable DR,True,True,0.556,0.66,0.752,tmtb02b_,tmtb02b_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtb03,executive_tmt,tmtb,,,,False,False,,0.666,0.777,tmtb03_,tmtb03_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmtb04,executive_tmt,tmtb,,,,False,False,,0.667,0.776,tmtb04_,tmtb04_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmtb05,executive_tmt,tmtb,,,,False,False,,0.515,0.739,tmtb05_,tmtb05_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmtb05a,executive_tmt,tmtb,,,,False,False,,0.558,0.821,tmtb05a_,tmtb05a_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmtba01,executive_tmt,tmtba,TMTBA01,tmtba01,Variable DR,True,True,0.556,0.67,0.777,tmtba01_,tmtba01_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtba01a,executive_tmt,tmtba,TMTBA01A,tmtba01a,Variable DR,True,True,0.556,0.674,0.821,tmtba01a_,tmtba01a_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtba01b,executive_tmt,tmtba,TMTBA01B,tmtba01b,Variable DR,True,True,0.556,0.667,0.777,tmtba01b_,tmtba01b_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtba02,executive_tmt,tmtba,TMTBA02,tmtba02,Variable DR,True,True,0.527,0.547,0.746,tmtba02_,tmtba02_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmtba02a,executive_tmt,tmtba,,,,False,False,,0.558,0.821,tmtba02a_,tmtba02a_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmtba02b,executive_tmt,tmtba,,,,False,False,,0.546,0.776,tmtba02b_,tmtba02b_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt05,memory_cvlt,cvlt,,,,False,False,,0.666,0.758,cvlt05_,avl01084_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt05z,memory_cvlt,cvlt,,,,False,False,,0.665,0.098,cvlt05z_,cvlt05z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt06,memory_cvlt,cvlt,,,,False,False,,0.664,0.751,cvlt06_,cvlt06_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt06z,memory_cvlt,cvlt,,,,False,False,,0.663,0.742,cvlt06z_,cvlt06z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt07,memory_cvlt,cvlt,,,,False,False,,0.665,0.756,cvlt07_,avl01118_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt07z,memory_cvlt,cvlt,,,,False,False,,0.664,0.745,cvlt07z_,cvlt07z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt08,memory_cvlt,cvlt,,,,False,False,,0.665,0.759,cvlt08_,avl01103_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt08z,memory_cvlt,cvlt,,,,False,False,,0.665,0.383,cvlt08z_,cvlt08z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt09,memory_cvlt,cvlt,,,,False,False,,0.665,0.759,cvlt09_,cvlt09_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt09z,memory_cvlt,cvlt,,,,False,False,,0.664,0.216,cvlt09z_,cvlt09z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt10,memory_cvlt,cvlt,,,,False,False,,0.665,0.759,cvlt10_,avl01135_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt10z,memory_cvlt,cvlt,,,,False,False,,0.664,0.217,cvlt10z_,cvlt10z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt11,memory_cvlt,cvlt,,,,False,False,,0.664,0.758,cvlt11_,cvlt11_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt11z,memory_cvlt,cvlt,,,,False,False,,0.664,0.216,cvlt11z_,cvlt11z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt12,memory_cvlt,cvlt,,,,False,False,,0.592,0.695,cvlt12_,cvlt12_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt12z,memory_cvlt,cvlt,,,,False,False,,0.584,0.564,cvlt12z_,cvlt12z_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt14,memory_cvlt,cvlt,,,,False,False,,0.654,0.752,cvlt14_,cvlt14_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt15,memory_cvlt,cvlt,,,,False,False,,0.655,0.753,cvlt15_,cvlt15_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt16,memory_cvlt,cvlt,,,,False,False,,0.663,0.756,cvlt16_,avl01137_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt17,memory_cvlt,cvlt,,,,False,False,,0.66,0.757,cvlt17_,avl01138_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt18,memory_cvlt,cvlt,,,,False,False,,0.584,0.731,cvlt18_,cvlt18_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
cvlt22,memory_cvlt,cvlt,,,,False,False,,0.621,0.708,cvlt22_,cvlt22_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
similtot_wais4,verbal_reasoning,similtot_wais,SIMILTOT,similtot,Variable DR,True,True,0.549,0.071,0.811,similtot_wais4,similtot_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
similstd_wais4,verbal_reasoning,similstd_wais,SIMILSTD,similstd,Variable DR,True,True,0.549,0.071,0.811,similstd_wais4,similstd_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
similcr_wais4,verbal_reasoning,similcr_wais,SIMILCR,similcr,Variable DR,True,True,0.545,0.071,0.811,similcr_wais4,similcr_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
mat_tot_w,percept_reasoning,mat_tot_w,,,,False,False,,0.657,0.798,mat_tot_w,mat_tot_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mat_std_w,percept_reasoning,mat_std_w,,,,False,False,,0.657,0.808,mat_std_w,mat_std_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mat_cr_w,percept_reasoning,mat_cr_w,,,,False,False,,0.653,0.808,mat_cr_w,mat_cr_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
nbrut_w,working_memory,nbrut_w,NBRUT,nbrut,Variable DR,True,True,0.556,0.676,0.807,nbrut_w,nbrut_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
nstand_w,working_memory,nstand_w,NSTAND,nstand,Variable DR,True,True,0.556,0.675,0.817,nstand_w,nstand_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
vstand_w,working_memory,vstand_w,VSTAND,vstand,Variable DR,True,True,0.553,0.675,0.817,vstand_w,vstand_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
mcod_w,working_memory,mcod_w,,,,False,False,,0.677,0.819,mcod_w,mcod_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mcoi_w,working_memory,mcoi_w,,,,False,False,,0.676,0.82,mcoi_w,mcoi_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mcoc_w,working_memory,mcoc_w,,,,False,False,,0.516,0.584,mcoc_w,mcoc_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mcodemp_w,working_memory,mcodemp_w,,,,False,False,,0.676,0.819,mcodemp_w,mcodemp_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
wais_mc_end_std_wais4,working_memory,wais_mc_end_std_wais,,,,False,False,,0.673,0.817,wais_mc_end_std_w,mcodempz_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
mcoiemp_w,working_memory,mcoiemp_w,,,,False,False,,0.677,0.82,mcoiemp_w,mcoiemp_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
wais_mc_env_std_wais4,working_memory,wais_mc_env_std_wais,,,,False,False,,0.673,0.817,wais_mc_env_std_w,mcoiempz_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
wais_mc_cro_wais4,working_memory,wais_mc_cro_wais,,,,False,False,,0.516,0.584,wais_mc_cro_w,mcocemp_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
wais_mc_cro_std_wais4,working_memory,wais_mc_cro_std_wais,,,,False,False,,0.515,0.583,wais_mc_cro_std_w,mcocempz_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
empdid_w,working_memory,empdid_w,,,,False,False,,0.676,0.819,empdid_w,empdid_w,2,PARTIAL — Data present in 2 of 2 cohorts,PARTIAL — Data present in 2 of 2 cohorts,False
arithtot_w,,arithtot_w,ARITHTOT,arithtot,Variable DR,True,True,0.522,,0.396,,arithtot_w,2,"NOT USABLE — Defined in 2 thesauri, data present in only 1 CSV",PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
arithstd_w,,arithstd_w,ARITHSTD,arithstd,Variable DR,True,True,0.522,,0.396,,arithstd_w,2,"NOT USABLE — Defined in 2 thesauri, data present in only 1 CSV",PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
arithcr_w,,arithcr_w,ARITHCR,arithcr,Variable DR,True,True,0.518,,0.396,,arithcr_w,2,"NOT USABLE — Defined in 2 thesauri, data present in only 1 CSV",PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
code01_wais4,proc_speed,code01_wais,CODE01,code01,Variable DR,True,True,0.576,0.676,0.42,code01_w,sdmt0104_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
code02_wais4,proc_speed,code02_wais,CODE02,code02,Variable DR,True,True,0.569,0.676,0.42,code02_w,sdmt0102_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
code03_wais4,proc_speed,code03_wais,CODE03,code03,Variable DR,True,True,0.574,0.676,0.421,code03_w,sdmt0103_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
code04_wais4,proc_speed,code04_wais,CODE04,code04,Variable DR,True,True,0.574,0.676,0.421,code04_w,sdmt0101_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
code05_wais4,proc_speed,code05_wais,CODE05,code05,Variable DR,True,True,0.572,0.676,0.421,code05_w,sdmt0105_w,3,PARTIAL — Data present in 2 of 3 cohorts,READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
symbol01_w,,symbol01_w,SYMBOL01,symbol01,Variable DR,True,True,0.569,0.675,,symbol01_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
symbol02_w,,symbol02_w,SYMBOL02,symbol02,Variable DR,True,True,0.562,0.675,,symbol02_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
symbol03_w,,symbol03_w,SYMBOL03,symbol03,Variable DR,True,True,0.569,0.675,,symbol03_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
symbol04_w,,symbol04_w,SYMBOL04,symbol04,Variable DR,True,True,0.569,0.675,,symbol04_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
symbol05_w,,symbol05_w,SYMBOL05,symbol05,Variable DR,True,True,0.563,0.675,,symbol05_w,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
ivt04_wais4,proc_speed,ivt04_wais,IVT04,ivt04,Variable DR,True,True,0.569,0.674,0.196,ivt04_w,ivt04_wais4,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
ivt01_wais4,proc_speed,ivt01_wais,IVT01,ivt01,Variable DR,True,True,0.569,0.674,0.196,ivt01_w,ivt01_wais4,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
ivt02_wais4,proc_speed,ivt02_wais,IVT02,ivt02,Variable DR,True,True,0.569,0.674,0.196,ivt02_w,ivt02_wais4,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
